订单ID,订单日期,发货日期,配送方式,区域,省份,客户ID,客户名称,客户类型,产品类别,产品名称,单价,数量,折扣率,销售额,利润,利润率,销售员,支付方式
ORD-202400772,2024-01-03,2024-01-06,自提,华东,上海,C01097,刘丽芳,政府机构,食品饮料,坚果零食,115.89,37,0.2,3430.34,1046.6,0.3051,郑丽,货到付款
ORD-202500556,2024-01-04,2024-01-11,京东物流,华北,太原,C01051,张磊娟,个人消费者,食品饮料,饼干,117.97,18,0.25,1592.6,247.49,0.1554,周伟,支付宝
ORD-202500777,2024-01-08,2024-01-14,标准快递,西南,成都,C01043,赵芳,企业客户,服装鞋帽,背包,1175.08,8,0.2,7520.51,1275.48,0.1696,孙磊,微信支付
ORD-202500233,2024-01-09,2024-01-13,标准快递,华北,石家庄,C01048,马洋涛,企业客户,电子产品,笔记本电脑,7309.53,20,0,146190.6,16095.59,0.1101,郑丽,信用卡
ORD-202400440,2024-01-11,2024-01-18,京东物流,东北,大连,C01123,吴丽娟,教育机构,办公用品,笔记本,237.25,1,0.2,189.8,61.89,0.3261,周伟,支付宝
ORD-202500217,2024-01-11,2024-01-14,标准快递,西南,重庆,C01129,李强,企业客户,电子产品,耳机,2517.61,7,0.1,15860.94,4950.2,0.3121,刘洋,对公转账
ORD-202500962,2024-01-11,2024-01-15,专线物流,东北,沈阳,C01089,胡超,企业客户,电子产品,平板电脑,932.4,14,0,13053.6,4019.2,0.3079,吴敏,银行卡
ORD-202400734,2024-01-19,2024-01-20,专线物流,华东,杭州,C01078,刘艳强,企业客户,食品饮料,坚果零食,139.29,43,0.3,4192.63,950.47,0.2267,陈静,对公转账
ORD-202500660,2024-01-21,2024-01-22,专线物流,华南,东莞,C01148,吴艳,企业客户,办公用品,碎纸机,125.93,43,0.25,4061.24,1157.86,0.2851,吴敏,微信支付
ORD-202400267,2024-01-23,2024-01-29,自提,华南,广州,C01170,陈娟洋,政府机构,服装鞋帽,背包,761.54,5,0.1,3426.93,743.64,0.217,李华,对公转账
ORD-202400823,2024-01-23,2024-01-26,自提,华东,上海,C01079,徐杰丽,教育机构,家居用品,加湿器,1974.96,8,0.1,14219.71,4568.79,0.3213,陈静,微信支付
ORD-202500258,2024-01-23,2024-01-29,专线物流,华北,青岛,C01078,刘艳强,企业客户,电子产品,移动电源,7303.16,8,0.05,55504.02,8708.58,0.1569,孙磊,对公转账
ORD-202500313,2024-01-24,2024-01-30,京东物流,华中,南昌,C01132,胡涛,教育机构,食品饮料,乳制品,98.81,4,0.25,296.43,-21.61,-0.0729,郑丽,支付宝
ORD-202400514,2024-01-26,2024-01-31,标准快递,西北,兰州,C01032,周超芳,企业客户,食品饮料,矿泉水,52.27,45,0,2352.15,525.24,0.2233,吴敏,支付宝
ORD-202400845,2024-01-28,2024-01-29,专线物流,华中,郑州,C01095,刘丽,企业客户,家居用品,收纳盒,894.58,34,0,30415.72,3181.48,0.1046,王芳,支付宝
ORD-202400906,2024-01-30,2024-02-02,自提,华中,郑州,C01137,朱洋,个人消费者,家居用品,暖风机,795.16,31,0,24649.96,4917.67,0.1995,陈静,支付宝
